well_name,Mg,combo,K
A1,20,BL59-2,85
A10,24,WT60-4-500J,85
A11,20,WT60-5-625J,85
A12,24,WT60-5-625J,85
A13,20,WT60-6-750J,85
A14,24,WT60-6-750J,85
A15,20,WT60-7-875J,85
A16,24,WT60-7-875J,85
A17,20,WT60-8-1000J,85
A18,24,WT60-8-1000J,85
A19,20,WT60-9-1250J,85
A2,24,BL59-2,85
A20,24,WT60-9-1250J,85
A3,20,WT60-1-125J,85
A4,24,WT60-1-125J,85
A5,20,WT60-2-250J,85
A6,24,WT60-2-250J,85
A7,20,WT60-3-375J,85
A8,24,WT60-3-375J,85
A9,20,WT60-4-500J,85
B1,12,BL59-2,85
B10,26,WT60-4-500J,85
B11,12,WT60-5-625J,85
B12,26,WT60-5-625J,85
B13,12,WT60-6-750J,85
B14,26,WT60-6-750J,85
B15,12,WT60-7-875J,85
B16,26,WT60-7-875J,85
B17,12,WT60-8-1000J,85
B18,26,WT60-8-1000J,85
B19,12,WT60-9-1250J,85
B2,26,BL59-2,85
B20,26,WT60-9-1250J,85
B3,12,WT60-1-125J,85
B4,26,WT60-1-125J,85
B5,12,WT60-2-250J,85
B6,26,WT60-2-250J,85
B7,12,WT60-3-375J,85
B8,26,WT60-3-375J,85
B9,12,WT60-4-500J,85
C1,10,BL59-2,85
C10,22,WT60-4-500J,85
C11,10,WT60-5-625J,85
C12,22,WT60-5-625J,85
C13,10,WT60-6-750J,85
C14,22,WT60-6-750J,85
C15,10,WT60-7-875J,85
C16,22,WT60-7-875J,85
C17,10,WT60-8-1000J,85
C18,22,WT60-8-1000J,85
C19,10,WT60-9-1250J,85
C2,22,BL59-2,85
C20,22,WT60-9-1250J,85
C3,10,WT60-1-125J,85
C4,22,WT60-1-125J,85
C5,10,WT60-2-250J,85
C6,22,WT60-2-250J,85
C7,10,WT60-3-375J,85
C8,22,WT60-3-375J,85
C9,10,WT60-4-500J,85
D1,8,BL59-2,85
D10,14,WT60-4-500J,85
